Files already downloaded and verified
Files already downloaded and verified

===> epoch: 1/200
train:
 1/782 [>...............................................................................]  Step: 5s195ms | Tot: 0ms | Loss: 4.6259 | Acc: 1.562% (1/64)
 2/782 [>...............................................................................]  Step: 136ms | Tot: 136ms | Loss: 4.6447 | Acc: 0.781% (1/128)
 3/782 [>...............................................................................]  Step: 133ms | Tot: 270ms | Loss: 4.6311 | Acc: 0.521% (1/192)
 4/782 [>...............................................................................]  Step: 133ms | Tot: 403ms | Loss: 4.6366 | Acc: 0.391% (1/256)
 5/782 [>...............................................................................]  Step: 133ms | Tot: 536ms | Loss: 4.6366 | Acc: 0.625% (2/320)
 6/782 [>...............................................................................]  Step: 132ms | Tot: 669ms | Loss: 4.6378 | Acc: 0.521% (2/384)
 54/782 [=====>..........................................................................]  Step: 136ms | Tot: 7s89ms | Loss: nan | Acc: 1.128% (39/3456)
 55/782 [=====>..........................................................................]  Step: 133ms | Tot: 7s222ms | Loss: nan | Acc: 1.108% (39/3520)
 56/782 [=====>..........................................................................]  Step: 132ms | Tot: 7s354ms | Loss: nan | Acc: 1.088% (39/3584)
 57/782 [=====>..........................................................................]  Step: 137ms | Tot: 7s492ms | Loss: nan | Acc: 1.096% (40/3648)
 58/782 [=====>..........................................................................]  Step: 138ms | Tot: 7s630ms | Loss: nan | Acc: 1.105% (41/3712)
 59/782 [======>.........................................................................]  Step: 135ms | Tot: 7s766ms | Loss: nan | Acc: 1.112% (42/3776)
 60/782 [======>.........................................................................]  Step: 133ms | Tot: 7s900ms | Loss: nan | Acc: 1.094% (42/3840)
 61/782 [======>.........................................................................]  Step: 132ms | Tot: 8s32ms | Loss: nan | Acc: 1.076% (42/3904)
 62/782 [======>.........................................................................]  Step: 132ms | Tot: 8s164ms | Loss: nan | Acc: 1.084% (43/3968)
 63/782 [======>.........................................................................]  Step: 131ms | Tot: 8s296ms | Loss: nan | Acc: 1.091% (44/4032)
 64/782 [======>.........................................................................]  Step: 132ms | Tot: 8s428ms | Loss: nan | Acc: 1.099% (45/4096)
 65/782 [======>.........................................................................]  Step: 134ms | Tot: 8s563ms | Loss: nan | Acc: 1.130% (47/4160)
 66/782 [======>.........................................................................]  Step: 131ms | Tot: 8s694ms | Loss: nan | Acc: 1.113% (47/4224)
 67/782 [======>.........................................................................]  Step: 132ms | Tot: 8s827ms | Loss: nan | Acc: 1.119% (48/4288)
 68/782 [======>.........................................................................]  Step: 132ms | Tot: 8s959ms | Loss: nan | Acc: 1.172% (51/4352)
 69/782 [=======>........................................................................]  Step: 131ms | Tot: 9s91ms | Loss: nan | Acc: 1.155% (51/4416)
 70/782 [=======>........................................................................]  Step: 131ms | Tot: 9s222ms | Loss: nan | Acc: 1.138% (51/4480)
 71/782 [=======>........................................................................]  Step: 131ms | Tot: 9s354ms | Loss: nan | Acc: 1.122% (51/4544)
 72/782 [=======>........................................................................]  Step: 159ms | Tot: 9s514ms | Loss: nan | Acc: 1.150% (53/4608)
 73/782 [=======>........................................................................]  Step: 132ms | Tot: 9s646ms | Loss: nan | Acc: 1.156% (54/4672)
 74/782 [=======>........................................................................]  Step: 132ms | Tot: 9s779ms | Loss: nan | Acc: 1.140% (54/4736)
 75/782 [=======>........................................................................]  Step: 132ms | Tot: 9s912ms | Loss: nan | Acc: 1.125% (54/4800)
 76/782 [=======>........................................................................]  Step: 132ms | Tot: 10s44ms | Loss: nan | Acc: 1.110% (54/4864)
 77/782 [=======>........................................................................]  Step: 131ms | Tot: 10s176ms | Loss: nan | Acc: 1.116% (55/4928)
 78/782 [=======>........................................................................]  Step: 132ms | Tot: 10s308ms | Loss: nan | Acc: 1.122% (56/4992)
 79/782 [========>.......................................................................]  Step: 134ms | Tot: 10s442ms | Loss: nan | Acc: 1.127% (57/5056)
 80/782 [========>.......................................................................]  Step: 131ms | Tot: 10s574ms | Loss: nan | Acc: 1.113% (57/5120)
 81/782 [========>.......................................................................]  Step: 132ms | Tot: 10s707ms | Loss: nan | Acc: 1.157% (60/5184)
 82/782 [========>.......................................................................]  Step: 131ms | Tot: 10s839ms | Loss: nan | Acc: 1.200% (63/5248)
 83/782 [========>.......................................................................]  Step: 132ms | Tot: 10s971ms | Loss: nan | Acc: 1.186% (63/5312)
 84/782 [========>.......................................................................]  Step: 133ms | Tot: 11s105ms | Loss: nan | Acc: 1.228% (66/5376)
 85/782 [========>.......................................................................]  Step: 136ms | Tot: 11s242ms | Loss: nan | Acc: 1.232% (67/5440)
 86/782 [========>.......................................................................]  Step: 138ms | Tot: 11s381ms | Loss: nan | Acc: 1.254% (69/5504)
 87/782 [========>.......................................................................]  Step: 132ms | Tot: 11s513ms | Loss: nan | Acc: 1.239% (69/5568)
 88/782 [=========>......................................................................]  Step: 134ms | Tot: 11s648ms | Loss: nan | Acc: 1.225% (69/5632)
 89/782 [=========>......................................................................]  Step: 134ms | Tot: 11s782ms | Loss: nan | Acc: 1.229% (70/5696)
 90/782 [=========>......................................................................]  Step: 132ms | Tot: 11s915ms | Loss: nan | Acc: 1.215% (70/5760)
